"p_x";"p_y";"p_z";"v_x";"v_y";"v_z";"q_x";"q_y";"q_z";"q_w"
0.153185;-0.00498428;0.0100419;0.026583;-0.0872042;0.0327146;0.387292;-0.137762;0.311852;0.856607
0.155618;-0.0198508;0.0220241;0.00759258;-0.0434569;0.042944;0.343107;-0.142567;0.311994;0.874421
0.154647;-0.0350621;0.0288469;-0.024613;-0.0844104;0.0129681;0.295943;-0.143269;0.303344;0.894357
0.141522;-0.060175;0.0355381;-0.0689637;-0.101973;0.0498546;0.246248;-0.131498;0.27108;0.921187
0.127353;-0.0806706;0.0542066;-0.0385558;-0.0732506;0.0844463;0.17533;-0.124865;0.248414;0.944436
0.119736;-0.0971246;0.0703113;-0.0314516;-0.0503462;0.0578943;0.121735;-0.115344;0.225724;0.959649
0.111371;-0.111516;0.0868957;-0.0383607;-0.0448818;0.0554772;0.0699424;-0.107255;0.204321;0.970493
0.102206;-0.124565;0.103299;-0.0357105;-0.0499034;0.080979;0.0213609;-0.094293;0.180092;0.978887
0.0972516;-0.142724;0.123587;-0.0053782;-0.0588694;0.0624396;-0.0144317;-0.0974199;0.170634;0.9804
0.0998373;-0.153841;0.138672;0.0285458;-0.0390988;0.0578851;-0.0455559;-0.10327;0.173788;0.978293
0.109364;-0.159194;0.155576;0.0327435;-0.0400779;0.0695271;-0.0781481;-0.104058;0.177301;0.975515
0.112792;-0.171093;0.17649;0.00280528;-0.0363132;0.0824974;-0.110146;-0.104611;0.174729;0.972828
0.10858;-0.171681;0.193159;-0.0194277;-0.00168213;0.102678;-0.136628;-0.0935821;0.167664;0.971835
0.104933;-0.171646;0.224417;-0.0187529;-0.00635649;0.116392;-0.175174;-0.0816334;0.158841;0.968204
0.0974249;-0.176816;0.250402;-0.0372024;-0.0206611;0.0832952;-0.2049;-0.0618201;0.14257;0.966368
0.082651;-0.183908;0.268274;-0.0702221;-0.0246933;0.0404157;-0.229145;-0.0440039;0.117468;0.965276
0.0594621;-0.189299;0.271177;-0.107535;-0.00323712;-0.0116267;-0.226569;-0.0201179;0.0880047;0.969803
0.0323293;-0.190098;0.267294;-0.0935012;0.0101956;-0.0178528;-0.218009;-2.21551e-05;0.0620652;0.973971
0.0119033;-0.183354;0.259891;-0.0839478;0.0379521;-0.042053;-0.200436;0.0130272;0.0388011;0.978851
-0.00841717;-0.168409;0.250196;-0.112572;0.0556461;-0.0168609;-0.192711;0.0220245;0.0144597;0.980902
-0.0352796;-0.157219;0.252067;-0.109768;0.0362267;0.00163575;-0.192575;0.0342557;-0.0111006;0.980621
-0.0633216;-0.150042;0.253097;-0.113565;0.0340505;-0.0106987;-0.191317;0.0399217;-0.0447552;0.979694
-0.0898009;-0.142267;0.248329;-0.0962264;0.0405899;-0.024716;-0.185624;0.049783;-0.0705792;0.978818
-0.108644;-0.130195;0.248161;-0.0806809;0.0503429;-0.0116187;-0.181118;0.0558809;-0.0912647;0.977622
-0.131072;-0.119212;0.24694;-0.100491;0.0524112;-0.000559486;-0.173862;0.0697487;-0.117217;0.975278
-0.160348;-0.10474;0.248149;-0.116282;0.0443018;-0.00409041;-0.167705;0.0860506;-0.14631;0.971115
-0.190466;-0.0973767;0.248069;-0.111809;0.0234732;-0.0037426;-0.168609;0.0904358;-0.176351;0.965553
-0.21919;-0.0926581;0.248474;-0.129478;0.0359598;0.0157026;-0.164279;0.105996;-0.219272;0.955875
-0.252055;-0.0765668;0.248654;-0.121684;0.0664014;-0.0065002;-0.16084;0.111588;-0.248844;0.948554
-0.276618;-0.0624532;0.238701;-0.0742302;0.0601725;-0.0734121;-0.133293;0.121976;-0.270961;0.945481
-0.292986;-0.0427052;0.217558;-0.0399746;0.0770938;-0.0862215;-0.0904784;0.123451;-0.294015;0.943466
-0.302931;-0.019463;0.190925;-0.0192633;0.053887;-0.120008;-0.0366563;0.12711;-0.314398;0.940028
-0.308318;-0.00981415;0.158411;-0.00621612;0.0251425;-0.12291;0.00731142;0.116181;-0.325019;0.938515
-0.299318;-0.00693877;0.126474;0.0724185;-0.00162624;-0.13394;0.05448;0.103314;-0.314084;0.942183
-0.271811;-0.01274;0.0968958;0.122685;-0.0260066;-0.106817;0.0830294;0.0856597;-0.289493;0.949717
-0.23685;-0.0223867;0.069964;0.136202;-0.0317971;-0.093397;0.111271;0.0668668;-0.260552;0.956692
-0.208125;-0.0276424;0.0520379;0.134498;-0.0248601;-0.0460946;0.118879;0.0557077;-0.226814;0.965049
-0.174553;-0.0306089;0.0508;0.126751;0.00618394;0.0218248;0.105795;0.0442264;-0.187246;0.975597
-0.145583;-0.0226468;0.0552448;0.099682;0.0358981;0.0120688;0.0854834;0.0394932;-0.150768;0.984074
-0.124075;-0.0201437;0.052769;0.110773;-0.0642224;-0.0500617;0.0807645;0.0260518;-0.117835;0.9894
-0.0975083;-0.0455268;0.0412506;0.0702749;-0.129222;-0.0367864;0.0890044;0.0269157;-0.104938;0.990122
-0.0803508;-0.0699171;0.0297027;0.0628379;-0.0429981;-0.0411946;0.0962896;-0.0612407;-0.110548;0.987298
